Date,Region_Vector,Aboard,Fatalities,Survives,Time_Vector,Category_Vector,Summary_Vector
9/17/1908,"[1, 0, 0, 0, 0, 0, 0]",2.0,1.0,1,"[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
9/7/1909,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
7/12/1912,"[1, 0, 0, 0, 0, 0, 0]",5.0,5.0,0,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]"
8/6/1913,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
9/9/1913,"[0, 0, 1, 0, 0, 0, 0]",20.0,14.0,1,"[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
10/17/1913,"[0, 1, 0, 0, 0, 0, 0]",30.0,30.0,0,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
3/5/1915,"[0, 1, 0, 0, 0, 0, 0]",41.0,21.0,1,"[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]"
9/3/1915,"[0, 1, 0, 0, 0, 0, 0]",19.0,19.0,0,"[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
7/28/1916,"[0, 0, 0, 1, 0, 0, 0]",20.0,20.0,0,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0]"
9/24/1916,"[0, 1, 0, 0, 0, 0, 0]",22.0,22.0,0,"[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1]"
10/1/1916,"[0, 1, 0, 0, 0, 0, 0]",19.0,19.0,0,"[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1]"
11/21/1916,"[0, 1, 0, 0, 0, 0, 0]",28.0,27.0,1,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
11/28/1916,"[0, 1, 0, 0, 0, 0, 0]",20.0,20.0,0,"[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
3/4/1917,"[0, 1, 0, 0, 0, 0, 0]",20.0,20.0,0,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
3/30/1917,"[0, 0, 1, 0, 0, 0, 0]",23.0,23.0,0,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
5/14/1917,"[0, 0, 1, 0, 0, 0, 0]",21.0,21.0,0,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
6/14/1917,"[0, 0, 1, 0, 0, 0, 0]",24.0,24.0,0,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1]"
6/17/1917,"[0, 1, 0, 0, 0, 0, 0]",16.0,14.0,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]"
8/21/1917,"[0, 0, 1, 0, 0, 0, 0]",18.0,18.0,0,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1]"
10/20/1917,"[0, 1, 0, 0, 0, 0, 0]",18.0,18.0,0,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
4/7/1918,"[0, 0, 1, 0, 0, 0, 0]",23.0,23.0,0,"[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
5/10/1918,"[0, 1, 0, 0, 0, 0, 0]",22.0,22.0,0,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1]"
8/11/1918,"[0, 0, 1, 0, 0, 0, 0]",19.0,19.0,0,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1]"
12/16/1918,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
5/25/1919,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
7/19/1919,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0]"
7/21/1919,"[1, 0, 0, 0, 0, 0, 0]",,3.0,0,"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
8/2/1919,"[0, 1, 0, 0, 0, 0, 0]",14.0,14.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
10/2/1919,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
10/14/1919,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
10/20/1919,"[0, 0, 0, 1, 0, 0, 0]",0.0,0.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
10/30/1919,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
